Temp,H,CO_2,Rsun,Tout,Hout,CO2out,Vwind,CO2dos,Lamp,LS,ES,WL,WW,Tp
17.212,81.737,415,0.2,16.1,82.6,407.7,7,0,33.3,0,0,37.75,2.25,38.925
19.05,77.688,545,0.2,16.3,83.2,409.5,6.9,646.1,100,0,0,80.987,9.0625,41.175
19.175,76.525,510.5,0.3,16.3,83.2,407.1,6.1,375.6,100,0,0,85.375,6.9375,40.25
19.262,77.588,620.5,0.3,16.1,82,428.4,5.2,635.4,100,0,0,89.125,5.4625,40.35
19.212,75.475,557,0.4,15.9,80.8,412,5.3,544.4,100,0,0,95.175,3.2625,42.05
19.212,75.3,638.5,0.2,15.8,76.5,415,5.5,639.3,100,0,0,89.313,1.9375,44.225
19.113,74.95,583.5,0.4,15.5,76.5,410.1,5,639.5,100,0,0,59.462,2.1875,44.65
19.5,76.2,755,0.2,15.4,74.6,416.2,5.5,741.3,100,0,0,28.613,2.1625,45.1
20.6,77.712,905,33,15.3,75.3,411.3,5.1,796.5,66.7,0,0,22.125,2.1125,45.2
20.65,76.6,866,59.6,15.4,75.3,408.3,5.2,805,66.7,0,0,46.638,2,47.225
21.613,74.05,742,268.5,16.1,71.6,422.9,6.1,923,33.3,0,0,34.95,1.975,42.325
23.025,67.063,618,475.5,16.7,67.9,411.3,6.7,807.2,0,0,0,74.85,1.975,34.975
22.35,69.912,647,368.4,16.6,68.8,417.5,6.8,922.1,0,0,0,59.912,2.1375,39.6
21.5,73.275,707.5,217,16.1,70.6,413.2,6.3,961.1,33.3,0,0,38.362,2.0875,41.725
21.762,73.537,768.5,264,16.3,70,423.6,6.2,1078,33.3,0,0,38.763,1.975,41.825
25.75,58.987,573.5,663.3,17.9,60.8,416.8,6.7,921.3,0,0,0,46.163,15.713,30
24.125,63.65,671,510.4,17.9,59.4,429.7,7.2,958.6,0,0,0,43.888,1.975,32.375
23.175,63.925,724,408.8,18.1,60.4,422.9,7.3,1039.8,0,0,0,29.05,1.925,34.9
21.425,73.5,791,202.9,17.4,59.8,427.2,7.6,811.2,33.3,0,0,14.525,0.1125,37.175
20.025,75.037,626.5,103.6,17.1,64.1,431.5,7.7,275.5,66.7,0,0,39.387,2.1125,39.125
18.788,77.362,534.5,1.4,15,82,421.7,8.2,324.6,66.7,0,0,4.125,0.1125,40.6
20.35,83.887,819.5,0.4,14,94.4,422.3,5.8,0,41.65,0,0,3.95,0.1125,42.9
17.713,78.675,423,0.2,15.1,81.8,417.5,5.4,0,66.7,0,0,65.612,2.05,41.825
